"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Kaushal Aggarwal\Desktop\Newstein\components\avatar.js", "JavaScript", 10, 0, 1, 11
"c:\Users\Kaushal Aggarwal\Desktop\Newstein\components\feedpage\postItem.js", "JavaScript", 100, 0, 8, 108
"c:\Users\Kaushal Aggarwal\Desktop\Newstein\components\feedpage\posts.js", "JavaScript", 29, 0, 5, 34
"c:\Users\Kaushal Aggarwal\Desktop\Newstein\components\feedpage\userIntro.js", "JavaScript", 53, 0, 3, 56
"c:\Users\Kaushal Aggarwal\Desktop\Newstein\components\genre.js", "JavaScript", 68, 1, 5, 74
"c:\Users\Kaushal Aggarwal\Desktop\Newstein\components\profile\profileTabItem.js", "JavaScript", 30, 0, 4, 34
"c:\Users\Kaushal Aggarwal\Desktop\Newstein\components\profile\profileTabs.js", "JavaScript", 35, 0, 4, 39
"c:\Users\Kaushal Aggarwal\Desktop\Newstein\components\profile\userBanner.js", "JavaScript", 69, 0, 4, 73
"c:\Users\Kaushal Aggarwal\Desktop\Newstein\components\searchbar.js", "JavaScript", 32, 0, 3, 35
"c:\Users\Kaushal Aggarwal\Desktop\Newstein\components\tabBarIcon.js", "JavaScript", 5, 0, 1, 6
"Total", "-", 431, 1, 38, 470